if_stolen,if_dark_colour,cost_of_bike,if_near_city_center,location_type,if_popular_type,bike_type
1,0,1000,1,residential,0,0
0,0,200,1,residential,1,1
0,0,2000,1,residential,0,0
0,0,750,1,residential,0,0
0,0,225,0,residential,1,1
0,1,800,1,residential,1,1
0,1,1500,0,educational,1,1
1,0,1500,1,residential,1,1
0,0,1100,1,residential,1,1
0,0,500,1,social,0,0
0,1,600,0,educational,1,1
0,1,3000,1,residential,0,0
0,0,300,1,social,1,1
0,1,1800,1,residential,0,0
0,0,589,0,social,1,1
0,0,700,1,social,1,1
0,0,2000,1,residential,0,0
0,0,200,1,residential,1,1
0,0,2400,1,residential,0,0
0,1,2500,1,residential,0,0
0,1,1400,1,residential,1,1
0,1,3000,1,social,0,0
0,0,3000,1,social,0,0
1,0,1280,1,residential,1,1
0,1,550,1,residential,0,0
0,1,1700,1,social,0,0
0,1,100,0,residential,1,1
0,0,80,1,social,0,0
0,1,500,1,residential,0,0
0,1,280,1,social,1,1
0,0,900,1,social,1,1
0,0,700,1,social,0,0
0,1,700,1,social,0,0
0,0,600,0,residential,1,1
0,0,800,1,residential,0,0
0,0,692,1,residential,1,1
0,1,350,1,residential,1,1
0,0,800,1,residential,1,1
0,0,600,0,residential,1,1
0,1,125,1,social,1,1
0,1,600,1,social,1,1
0,1,750,0,social,1,1
0,1,300,1,social,1,1
1,1,800,1,residential,0,0
0,0,900,1,residential,0,0
0,0,2000,1,residential,1,1
0,0,600,1,social,1,1
0,1,650,1,residential,0,0
0,1,800,1,residential,1,1
0,0,500,1,social,1,1
0,1,1200,1,social,0,0
0,1,600,1,residential,1,1
0,0,500,1,residential,1,1
0,0,1900,1,social,0,0
0,0,500,0,residential,0,0
0,0,600,1,social,0,0
0,1,800,1,social,1,1
0,1,500,1,social,1,1
0,0,200,0,educational,1,1
0,1,600,0,residential,1,1
0,1,3800,1,social,0,0
0,1,900,1,residential,1,1
0,0,3000,1,educational,1,1
0,0,1500,1,social,0,0
1,0,7000,1,social,0,0
0,1,1200,1,residential,1,1
0,0,600,1,social,0,0
0,1,1200,1,residential,1,1
0,1,2200,0,residential,1,1
0,1,3400,1,residential,1,1
1,1,1000,1,residential,1,1
0,0,400,1,social,1,1
0,1,650,0,social,1,1
0,1,3000,1,social,0,0
1,0,150,0,residential,1,1
0,0,7000,1,social,1,1
0,1,1700,1,social,0,0
0,1,2000,1,residential,1,1
0,0,1000,1,social,1,1
0,1,75,0,residential,1,1
0,0,700,1,residential,1,1
0,1,300,0,educational,1,1
0,0,700,1,social,1,1
0,0,50,1,residential,1,1
0,0,350,1,educational,1,1
0,1,1300,1,residential,1,1
0,0,2500,1,residential,0,0
0,0,1500,1,residential,1,1
0,0,1300,1,residential,0,0
0,1,500,1,residential,0,0
0,1,800,1,residential,1,1
0,0,1300,1,social,1,1
1,0,1250,1,residential,1,1
1,0,1250,1,residential,1,1
0,1,700,1,social,0,0
0,1,1724,1,residential,0,0
0,0,1500,0,residential,1,1
0,0,599,1,social,1,1
0,1,200,1,educational,1,1
0,1,767,1,social,1,1
0,0,757,1,residential,1,1
0,1,700,1,social,0,0
0,1,1000,1,residential,0,0
0,1,1000,1,residential,0,0
0,1,575,1,social,1,1
0,1,550,1,residential,1,1
0,1,550,1,residential,1,1
0,0,1800,1,social,0,0
0,0,250,1,social,1,1
0,0,180,1,residential,1,1
0,1,1500,1,residential,1,1
0,0,600,1,residential,1,1
0,1,1800,1,residential,1,1
0,0,300,1,residential,1,1
0,1,600,1,residential,0,0
0,0,500,0,social,1,1
0,0,800,0,social,1,1
0,0,600,1,social,1,1
0,0,75,1,social,1,1
0,0,550,1,social,1,1
0,0,500,1,residential,0,0
0,1,600,1,social,1,1
0,0,150,1,residential,1,1
0,1,1600,1,social,1,1
0,1,1200,1,residential,1,1
0,0,639,1,residential,1,1
0,1,500,1,residential,1,1
0,1,900,1,social,0,0
0,1,4000,1,social,1,1
0,0,500,1,social,1,1
0,0,400,0,residential,1,1
0,0,250,0,residential,1,1
0,0,170,0,residential,1,1
0,0,100,0,residential,1,1
0,0,200,1,residential,0,0
0,0,650,0,residential,1,1
0,0,1000,1,educational,1,1
0,0,500,1,social,0,0
0,1,300,0,educational,1,1
0,0,800,1,social,1,1
0,1,699,1,residential,1,1
0,1,300,1,social,1,1
0,1,400,1,social,0,0
0,1,3500,1,social,1,1
0,1,800,0,residential,0,0
0,0,4000,1,social,0,0
0,1,500,1,educational,1,1
0,1,1300,1,social,1,1
0,1,2938,1,residential,0,0
0,1,1000,1,residential,1,1
0,1,1433,1,residential,0,0
0,1,700,1,social,0,0
0,1,750,1,residential,0,0
0,1,250,1,residential,1,1
0,1,350,0,residential,1,1
0,1,700,1,social,1,1
0,0,1000,1,social,0,0
0,0,1200,1,residential,1,1
0,0,320,1,social,1,1
0,1,300,1,residential,0,0
0,1,700,1,residential,1,1
0,1,200,1,residential,1,1
0,1,400,1,residential,1,1
0,0,629,1,social,1,1
0,0,500,1,residential,1,1
0,0,500,1,residential,1,1
0,1,550,1,residential,1,1
0,0,1195,1,residential,0,0
0,1,450,0,residential,1,1
0,1,1525,1,residential,1,1
0,1,600,1,residential,1,1
0,1,800,1,residential,1,1
0,1,500,1,residential,1,1
0,1,200,1,residential,1,1
0,1,700,1,residential,1,1
0,1,600,1,residential,1,1
0,0,530,0,residential,1,1
1,1,850,1,social,1,1
0,1,1000,1,social,1,1
0,1,650,0,social,1,1
0,1,4200,1,residential,1,1
0,1,2000,1,residential,1,1
0,1,800,1,residential,1,1
0,1,599,1,educational,1,1
0,1,600,1,social,1,1
0,1,2000,1,social,0,0
0,1,700,1,social,1,1
0,0,1500,1,residential,0,0
0,1,300,1,residential,0,0
1,1,800,1,residential,1,1
0,1,150,1,residential,1,1
0,1,550,1,residential,1,1
0,1,700,0,residential,1,1
0,1,1200,1,residential,1,1
0,1,500,1,social,0,0
0,1,700,1,residential,1,1
0,0,170,0,residential,1,1
0,0,400,1,residential,1,1
0,0,1000,1,social,0,0
0,1,860,1,social,1,1
0,0,400,0,residential,1,1
0,1,500,1,social,1,1
0,0,150,1,residential,1,1
0,0,150,1,residential,1,1
0,0,200,0,residential,1,1
0,1,1200,0,residential,0,0
0,1,300,1,residential,1,1
0,0,400,1,residential,1,1
0,0,1000,0,social,1,1
1,0,6500,1,residential,0,0
0,1,1300,1,residential,1,1
0,1,500,1,residential,1,1
0,0,545,1,residential,1,1
0,1,426,0,educational,1,1
0,0,800,1,residential,1,1
0,0,1200,1,social,0,0
0,1,150,1,social,1,1
1,1,1225,1,social,1,1
0,0,5000,1,residential,1,1
1,1,500,1,residential,1,1
0,1,500,1,residential,1,1
0,0,500,0,social,0,0
0,0,500,1,residential,1,1
0,1,700,1,residential,1,1
0,0,1000,1,social,1,1
0,1,316,1,social,1,1
0,1,700,1,social,1,1
0,0,450,0,social,0,0
0,0,750,1,residential,1,1
0,0,1600,1,social,1,1
0,0,800,1,residential,1,1
0,1,500,1,educational,1,1
0,0,868,1,social,1,1
0,1,904,1,residential,1,1
0,0,300,1,residential,1,1
1,0,1200,1,residential,0,0
1,1,1000,1,residential,0,0
0,1,1000,1,residential,0,0
0,1,1625,1,social,1,1
0,0,1000,1,residential,1,1
0,0,200,1,social,1,1
0,0,1645,1,social,0,0
0,0,50,0,residential,1,1
0,1,50,0,residential,1,1
0,0,600,1,residential,1,1
1,1,400,1,residential,0,0
0,0,1200,1,social,0,0
0,1,1200,1,social,0,0
0,1,1150,1,social,0,0
0,1,1147,1,residential,0,0
0,1,1200,1,residential,1,1
0,0,1000,1,residential,1,1
1,0,800,1,residential,1,1
0,1,3400,1,residential,0,0
0,0,2000,0,social,1,1
0,1,800,1,residential,1,1
0,1,579,1,residential,1,1
0,1,400,0,residential,0,0
0,0,100,1,residential,1,1
0,0,60,1,residential,1,1
0,0,1200,1,residential,1,1
0,1,1400,1,residential,0,0
1,0,1200,1,residential,1,1
0,1,3614,1,residential,1,1
0,1,500,1,residential,1,1
0,0,830,1,social,1,1
0,0,500,1,social,1,1
0,1,550,1,residential,0,0
0,1,1500,1,residential,0,0
0,0,250,1,social,0,0
0,0,1300,1,social,0,0
0,1,500,0,residential,1,1
0,1,2000,1,residential,1,1
0,0,2500,1,residential,1,1
0,0,300,1,residential,1,1
0,1,600,1,social,1,1
0,1,700,1,residential,1,1
0,0,1000,1,social,0,0
0,0,800,1,residential,0,0
0,0,1100,1,social,1,1
0,1,769,1,residential,0,0
0,0,300,1,residential,1,1
0,1,900,1,residential,1,1
0,0,700,1,social,0,0
0,1,600,1,residential,1,1
0,0,400,1,residential,0,0
0,0,900,1,residential,1,1
0,1,469,1,residential,1,1
0,0,700,1,residential,1,1
0,1,1000,1,residential,1,1
0,0,800,0,residential,1,1
0,1,2000,1,social,1,1
0,1,500,1,social,0,0
